OBJECTID__;Shape__;maTinh;tenXa;maXa;danSo;dienTich;ORIG_FID;POINT_X;POINT_Y;NDVI_HCM_B;LST_HCM_BD;TDVI_HCM_B
117;Point;701;Phuong Cat Lai;70145137;68654;19.65;117;106,77238100000;10,76319700000;;;
118;Point;701;Xa Tan Vinh Loc;70139142;163839;34.05;118;106,56603100000;10,78981200000;0,21220000000;31,65000000000;0,84391942743
119;Point;701;Xa Binh Khanh;70143148;35482;158.28;119;106,85727900000;10,59668600000;0,72770000000;26,15000000000;1,10801624537
120;Point;701;Xa Dat Do;71712025;;119.76;120;107,30355400000;10,52029600000;;;
121;Point;701;Phuong An Phu Dong;70123098;179115;14.59;121;106,69313300000;10,86251100000;0,48920000000;32,19000000000;0,99458534073
122;Point;701;Phuong Tan Binh;70127122;89373;2.12;122;106,64234000000;10,80043500000;;;
123;Point;701;Phuong Go Vap;70125111;11085;2.81;123;106,67335900000;10,83583100000;0,42210000000;33,45000000000;0,96026038136
124;Point;701;Xa Xuan Thoi Son;70137160;103643;35.21;124;106,55666800000;10,89003300000;0,23950000000;34,91000000000;0,85994185850
125;Point;701;Phuong Ban Co;70105067;67616;0.99;125;106,68201100000;10,77096500000;;;
126;Point;701;Phuong Thuan An;71107031;64689;16.11;126;106,67850700000;10,94183400000;0,61240000000;31,95000000000;1,05470374987
127;Point;701;Phuong An Hoi Tay;70125114;121004;3.81;127;106,64235100000;10,84305400000;0,38300000000;32,45000000000;0,93968079687
128;Point;701;Xa Phu Giao;71111056;42739;192.83;128;106,85743800000;11,30233400000;;;
129;Point;701;Phuong Long Binh;70145134;;24.56;129;106,83617300000;10,86731300000;;;
130;Point;701;Phuong Binh Tay;70111076;63293;1.05;130;106,64499900000;10,75086200000;-0,16820000000;;0,57602083296
131;Point;701;Phuong Tan My;70113082;68124;6.45;131;106,72639300000;10,72641500000;;;
132;Point;701;Phuong Cau Ong Lanh;70101066;78734;1.6;132;106,68977200000;10,76214800000;;;
133;Point;701;Phuong Phu Thuan;70113081;84089;10.55;133;106,74391700000;10,72338400000;;;
134;Point;701;Xa Bau Bang;71115058;42219;84.09;134;106,62323900000;11,28970300000;0,70120000000;32,45000000000;1,09599270071
135;Point;701;Phuong Hoa Hung;70119089;96414;2.59;135;106,66978700000;10,77762200000;;;
136;Point;701;Phuong An Phu;71107035;16293;16.85;136;106,73783600000;10,94985700000;;;
137;Point;701;Phuong Binh Duong;71101036;107576;58.16;137;106,68607200000;11,05310800000;;;
138;Point;701;Phuong Tan Dinh;70101064;48524;1.23;138;106,69063000000;10,79265500000;;;
139;Point;701;Xa An Thoi Dong;70143149;22607;257.85;139;106,81093800000;10,49134300000;0,82420000000;27,27000000000;1,15073889306
140;Point;701;Xa An Nhon Tay;70135154;40896;77.7;140;106,48257700000;11,10157900000;0,61300000000;30,59000000000;1,05498815159
141;Point;701;Xa Can Gio;70143150;2713;157.01;141;106,91181000000;10,44268300000;;;
142;Point;701;Phuong Tan Son Nhat;70127119;84639;3.19;142;106,65886800000;10,79476400000;;27,53000000000;
143;Point;701;Phuong Binh Quoi;70129108;462;6.34;143;106,73831400000;10,82115700000;;;
